"subset_name","sample_ID","rho","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"survey_only",1,1700,83.0473728912649,5899,1001.39322260997,82.7102961428514,0.858450584844889,0.141549415155111,"==",0.980244361014325
"survey_only",2,1700,84.3257161587007,8799,1002.57755643238,84.6774664650356,0.0640981929764746,0.935901807023525,"==",-1.54905286789578
"survey_only",3,1700,83.8687224831526,6799,1000.42666652295,83.8994539460492,0.390792763641712,0.609207236358288,"==",-0.116327749362302
"survey_only",4,1700,81.9689792761416,7099,1019.88156562184,82.0754069777976,0.321312860966333,0.678687139033667,"==",-0.340101911665317
"survey_only",5,1700,83.5757164389434,7099,1009.00770083618,83.9467502957311,0.0932525707846176,0.906747429215382,"==",-1.30077459288227
"survey_only",6,1700,84.6953612896755,8299,1003.79956129183,84.8852226262006,0.153030485600675,0.846969514399325,"==",-0.958578266975854
"survey_only",7,1700,83.1548187513968,7799,1005.11205763189,83.2683946962373,0.293114501859213,0.706885498140787,"==",-0.414677856808328
"survey_only",8,1700,81.9252203535292,5999,1005.41791341025,82.0373767753033,0.286381063510585,0.713618936489415,"==",-0.443930912308053
"survey_only",9,1700,84.1420457521064,8299,1016.49327347613,83.9526329673685,0.863839016749006,0.136160983250994,"==",0.972675877421578
"survey_only",10,1700,82.9770653394149,5699,1011.2330529006,82.9890823569129,0.426741533602386,0.573258466397614,"==",-0.0529315089988413
"survey_only",11,1700,80.587101308967,4999,1012.64897304716,80.8788508673024,0.187237447489498,0.812762552510502,"==",-0.807379913964866
"survey_only",12,1700,81.2077540759565,5399,1011.35679684752,81.2124865487954,0.428042230042601,0.5719577699574,"==",-0.0136447025205332
"survey_only",13,1700,83.3668112726385,4899,1047.04537899176,83.4081783633936,0.359869361094101,0.640130638905899,"==",-0.319710678126952
"survey_only",14,1700,83.7137990326537,9699,1009.9546322134,83.4632242001778,0.784720074234457,0.215279925765543,"==",0.831942954416505
"survey_only",15,1700,80.9511303156458,6899,1021.24874671632,80.8000024989689,0.612987389476736,0.387012610523264,"==",0.397886911229087
"survey_only",16,1700,83.1877841961299,6799,1000.91524875719,83.0807447865914,0.597587880570672,0.402412119429328,"==",0.361428134315518
"survey_only",17,1700,82.8807873435597,9199,1008.83343978182,82.8455649797321,0.494836395260354,0.505163604739646,"==",0.12680266878433
"survey_only",18,1700,82.8516539235651,4599,1156.29030884178,82.7893399730969,0.517938682322244,0.482061317677756,"==",0.192886999039769
"survey_only",19,1700,82.6120094116856,6899,1003.75086557853,83.0904066972951,0.085809537614147,0.914190462385853,"==",-1.41693794934046
"survey_only",20,1700,80.6227294684582,4999,1003.77526079038,81.6831077363398,0.00840168033606721,0.991598319663933,"==",-3.30728150329269
"survey_only",21,1700,82.7095583449795,5599,1009.61331148659,82.871820476453,0.246115377746026,0.753884622253974,"==",-0.52874928788176
"survey_only",22,1700,83.4011553093891,9399,1001.81139838027,83.4635455547578,0.346951803383339,0.653048196616661,"==",-0.270028098003479
"survey_only",23,1700,82.7149261055415,6699,1013.05946986782,83.7395520428778,0.0077623525899388,0.992237647410061,"==",-3.56196706335574
"survey_only",24,1700,82.5478994185575,4699,1025.4759711768,82.5042794908471,0.499893594381783,0.500106405618217,"==",0.161869824542434
"survey_only",25,1700,81.2123324070719,4399,1022.02024618301,81.2333928260945,0.406228688338259,0.593771311661741,"==",-0.053566530469289
"survey_only",26,1700,81.4210726055942,6799,1008.41515309746,80.9408662527292,0.985586115605236,0.0144138843947639,"==",1.47632352379462
"survey_only",27,1700,83.4963325859929,6699,1002.87459595027,83.5921611884548,0.293178086281535,0.706821913718465,"==",-0.38733277359402
